line_id,mean_margin,skewness,has_numeric,num_median_norm,numeric_count_norm,num_above,num_margin,digit_char_frec,has_digit,area_norm,norm_wid,width_rel,bbox_width_inv,bbox_w_dif,ratio_area_norm,area_inv,area_dif,aspcrat_inv_norm,perimeter_norm,perimeter_inv,perimeter_dif,diag_inv,diag_dif,diag_norm,angle_inv,compact,prev_xmin_align,prev_xmax_align,next_xmin_align,next_xmax_align,align_prev,align_next,center_aling
line_0016,0.631666667,0.390642849,1,5,0.833333333,1,1,0.8,1,0.662682503,0.964242424,0.773832685,1.325281133,0.674718867,0.662682503,1.358186651,0.641813349,0.957583523,0.964115804,1.3154041,0.6845959,1.324776802,0.675223198,0.964236545,0.752162058,0.981284056,0.993761726,1,0.602725484,0.953985337,0.996940908,0.813895911,0.971237361
line_0011,1,-0.138894247,1,3,1,1,1,0.692307692,1,0.97672821,0.985507246,0.727626459,1.249791145,0.750208855,0.97672821,1.292984005,0.707015995,0.871733597,0.988284651,1.237936277,0.762063723,1.249190982,0.750809018,0.98562762,0.816844881,1.007685388,0.998057627,0.965058578,1,0.987867982,0.981950684,0.994034207,0.859235585
line_0012,1,-0.144472617,1,2,0.666666667,1,0.608695652,0.692307692,1,0.937415705,1,0.738326848,1.268170426,0.731829574,0.937415705,1.240942465,0.759057535,0.880438583,1,1.252611052,0.747388948,1.267406632,0.732593368,1,0.76147053,1.074984905,1,0.987260336,0.99841953,0.943719166,0.993746792,0.971508009,0.866473928
line_0013,0.928571429,0.385756695,1,3,1,1,1,0.923076923,1,0.897596376,0.931488801,0.687743191,1.18128655,0.81871345,0.897596376,1.188229997,0.811770003,0.86805752,0.935222565,1.171470122,0.828529878,1.180783215,0.819216785,0.931653019,0.840225077,0.981936615,0.998345514,0.94109241,1,0.9969793,0.970183764,0.998512486,0.830517635
line_0014,1,0.034443037,1,3,1,1,1,0.692307692,1,0.875104185,0.93544137,0.690661479,1.186299081,0.813700919,0.875104185,1.158455037,0.841544963,0.872448537,0.937861157,1.174775251,0.825224749,1.185717132,0.814282868,0.935545942,0.812297503,1.012865851,1,0.996839071,1,0.990815305,0.998445262,0.995481155,0.832462892
line_0015,1,-0.046406392,1,3,1,1,1,0.692307692,1,0.980271404,0.947957839,0.699902724,1.202172097,0.797827903,0.980271404,1.297674454,0.702325546,0.860867972,0.953964108,1.194945985,0.805054015,1.201792411,0.798207589,0.948229543,0.885943794,0.935518385,1,0.990434845,0.998609181,0.992582494,0.995289586,0.997032925,0.838635668
line_0016,1,0.038821106,1,3,1,1,1,0.769230769,1,0.966918395,0.93544137,0.690661479,1.186299081,0.813700919,0.966918395,1.27999786,0.72000214,0.859066089,0.941914035,1.17985193,0.82014807,1.185958275,0.814041725,0.935736207,0.897400459,0.924628562,0.998549725,0.992265425,0.872857282,0.813433481,0.996908142,0.969543219,0.834410101
line_0011,0.420967742,0.578591974,1,1.4,1,1,1,0.947368421,1,0.636442858,0.966727163,0.777237354,1.00250941,0.99749059,0.636442858,1.076706013,0.923293987,0.812276246,0.972614636,1.007496701,0.992503299,1.002788501,0.997211499,0.967022237,1.042352576,0.862514043,0.959220447,0.997232993,0.998174741,1,0.978759766,0.99910794,0.929760911
line_0012,0.690384615,0.315255728,1,1,0.714285714,1,0.548571429,0.631578947,1,0.587934078,0.964912281,0.77577821,1.000627353,0.999372647,0.587934078,0.994640994,0.994640994,0.825931326,0.967345994,1.002039103,0.997960897,1.000722099,0.999277901,0.965029537,0.966649946,0.923589595,0.99804637,1,0.998280312,1,0.999048556,0.999158987,0.930769078
line_0013,0.695,0.27353833,1,1,0.714285714,1,0.548571429,0.789473684,1,0.607107427,0.966727163,0.777237354,1.00250941,0.99749059,0.607107427,1.027077622,0.972922378,0.820928959,0.970429018,1.005232698,0.994767302,1.002670192,0.997329808,0.966908148,0.994385871,0.900131569,0.998174741,1,1,1,0.99910794,1,0.929760911
